index,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,Selected_region
463,Barahonda,2019,15713,Barrica Tinto (Monastrell - Syrah) 2019,3.9,33,6.57,España,Yecla,other
464,Portal del Montsant,2019,1437498,Santes Negre Sustainable Vineyards 2019,3.6,252,6.59,España,Montsant,Catalunya Sul
465,Estefanía,2018,5110258,Tilenus Vendimia Bierzo 2018,3.5,97,6.59,España,Bierzo,other
466,Portia,2018,4406501,Roble 2018,3.5,909,6.6,España,Ribera del Duero,Ribera del Duero
467,Cune (CVNE),2017,1135311,Crianza 2017,3.6,5892,6.6,España,Rioja,Rioja
468,Bodega Pirineos,2018,6375484,Roble 2018,4.0,122,6.6,España,Somontano,other
469,Familia Torres,2018,1152206,Coronas Crianza 2018,3.6,141,6.6,España,Cataluña,Catalunya Sul
470,Señorío de Nava,2020,1139423,Roble Ribera del Duero 2020,3.9,28,6.63,España,Ribera del Duero,Ribera del Duero
471,Bodegas Javier San Pedro Ortega,2018,1595750,Cueva de Lobos Crianza 2018,3.6,113,6.65,España,Rioja,Rioja
472,Espelt,2020,1731540,Sauló 2020,3.4,30,6.65,España,Empordà,other
473,Altos Ibéricos,2017,1759011,Crianza 2017,3.9,2487,6.651666666666666,España,Rioja,Rioja
474,Familia Torres,2017,7569397,22 Pies Rioja Crianza 2017,3.9,30,6.651666666666666,España,Rioja,Rioja
475,Martinez Corta,2018,7738981,Finca Iriarte Tempranillo 2018,3.8,130,6.69,España,Rioja,Rioja
476,Pagos del Rey,2020,7127854,Canta Mañanas Tempranillo 2020,3.4,184,6.69,España,Ribera del Duero,Ribera del Duero
477,Coelus,2017,1436976,Crianza Tempranillo 2017,3.7,32,6.7,España,Rioja,Rioja
478,Beronia,2017,20796,Rioja Crianza 2017,3.7,1616,6.7,España,Rioja,Rioja
479,Vinos Divertidos,2020,1205983,Cojón de Gato Tinto 2020,3.4,28,6.7,España,Somontano,other
480,Bodegas Arraez,2019,5067549,Vividor Bobal 2019,3.6,238,6.7,España,Utiel-Requena,other
481,Bodegas Lleiroso,2018,2016016,Luz Millar Roble 2018,3.6,563,6.7,España,Ribera del Duero,Ribera del Duero
482,Bodega Pirineos,2013,2291254,Señorío de Lazán Crianza 2013,3.2,344,6.74,España,Somontano,other
483,Rioja Santiago,2018,1228592,Crianza 2018,3.7,50,6.75,España,Rioja,Rioja
484,Navajas,2018,7893993,Garnacha 2018,3.4,50,6.75,España,Rioja,Rioja
485,Gran Feudo,2016,1441674,Viñas Viejas Reserva 2016,3.6,149,6.75,España,Navarra,other
486,Finca Bacara,2019,4664825,Crazy Grapes Monastrell 2019,3.8,246,6.75,España,Jumilla,other
487,Luis Cañas,2019,1233309,Tinto 2019,3.6,56,6.75,España,Rioja,Rioja
488,Museum,2017,1714209,Vinea Tempranillo Crianza 2017,3.6,159,6.75,España,Cigales,other
489,Navajas,2017,78766,Rioja Crianza Tinto 2017,3.8,52,6.75,España,Rioja,Rioja
490,Bodegas Valdemar,2017,1774637,Finca del Marquesado Crianza 2017,3.8,158,6.75,España,Rioja,Rioja
491,Familia Torres,2019,1147949,Coronas Tempranillo 2019,3.5,330,6.75,España,Cataluña,Catalunya Sul
492,Península Vinicultores,2018,6348969,Viñedos Viejos Vino de Montana 2018,3.5,430,6.75,España,Madrid,other
493,Casa del Valle,2018,1323279,Syrah 2018,3.6,31,6.75,España,Castilla,other
494,Bodega Sommos,2019,1480760,Nietro Tinto 2019,3.8,51,6.75,España,Calatayud,other
495,Costers del Sió,2020,1368709,Petit Siós Tinto 2020,3.7,45,6.75,España,Costers del Segre,other
496,Bobal de San Juan,2019,1743364,Bobal Old Vines (Viñas Viejas) 2019,3.6,72,6.78,España,Utiel-Requena,other
